type_CH,energie_CH,type_ECS,energie_ECS,est_possible
collectif,electricite,individuel,gaz,non
collectif,electricite,collectif,gaz,non
collectif,electricite,individuel,electricite,non
collectif,electricite,collectif,electricite,non
collectif,electricite,individuel,fioul,non
collectif,electricite,collectif,fioul,non
collectif,fioul,individuel,gaz,non
collectif,fioul,collectif,gaz,non
collectif,fioul,individuel,electricite,non
collectif,fioul,collectif,electricite,non
collectif,fioul,individuel,fioul,non
collectif,fioul,collectif,fioul,oui
collectif,gaz,individuel,gaz,oui
collectif,gaz,collectif,gaz,oui
collectif,gaz,individuel,electricite,oui
collectif,gaz,collectif,electricite,non
collectif,gaz,individuel,fioul,non
collectif,gaz,collectif,fioul,non
individuel,electricite,individuel,gaz,non
individuel,electricite,collectif,gaz,non
individuel,electricite,individuel,electricite,oui
individuel,electricite,collectif,electricite,oui
individuel,electricite,individuel,fioul,non
individuel,electricite,collectif,fioul,non
individuel,fioul,individuel,gaz,non
individuel,fioul,collectif,gaz,non
individuel,fioul,individuel,electricite,non
individuel,fioul,collectif,electricite,non
individuel,fioul,individuel,fioul,non
individuel,fioul,collectif,fioul,non
individuel,gaz,individuel,gaz,oui
individuel,gaz,collectif,gaz,non
individuel,gaz,individuel,electricite,non
individuel,gaz,collectif,electricite,non
individuel,gaz,individuel,fioul,non
individuel,gaz,collectif,fioul,non
